img_path,top_category,top_color,bottom_category,bottom_color
..\object_detection\ClothesCategory_v9\test\images\10044010_jpg.rf.de98d6aff997411fd64459bd62cfd9c2.jpg,longsleeve,darkgrey,shortpants,midnightblue
..\object_detection\ClothesCategory_v9\test\images\10179192_jpg.rf.803ef7e3d2505df3d94dec55b800c5e4.jpg,blazer,lightblue,slacks,black
..\object_detection\ClothesCategory_v9\test\images\10244838_blurr_jpg.rf.502b6a3669198a03252a39bd135ffc43.jpg,longsleeve,darkgrey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\10273381_jpg.rf.b4629f2a6f56dfad1c0ff90da2165412.jpg,shortsleeve,black,shortpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\10312552_jpg.rf.d849ea2143960663f1b234796905dcad.jpg,shortsleeve,black,cottonpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\10347798_jpg.rf.96c37d3a5d959be32c2da35a3ba35a7d.jpg,shortsleeve,white,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\10396906_jpg.rf.533df69d3d4bbc7703d18ae57396f53e.jpg,shirt,beige,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\10488587_blurr_jpg.rf.bfb20f3dd7b2d88006f1e827d7d6959e.jpg,shortsleeve,black,shortpants,firebrick
..\object_detection\ClothesCategory_v9\test\images\10536873_blurr_jpg.rf.a4f53581a9fbd5bf14b5831e12c16538.jpg,shortsleeve,black,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\10575362_jpg.rf.d92ed99fab4e58bf53e75a98847ac12b.jpg,shortsleeve,chocolate,skirt,midnightblue
..\object_detection\ClothesCategory_v9\test\images\10591133_jpg.rf.c3c2ccba752eec4a1a178ecd7b17c49b.jpg,shortsleeve,lightgrey,shortpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\11064864_jpg.rf.d6af17d3600e7939bc7166541aa73b8c.jpg,shirt,darkgrey,shortpants,darkgrey
..\object_detection\ClothesCategory_v9\test\images\11136237_jpg.rf.0f717eaa4ff30734a4194d3aa826dae9.jpg,shortsleeve,darkgrey,shortpants,sienna
..\object_detection\ClothesCategory_v9\test\images\11225748_jpg.rf.a12954f2c600b5a435869a2d6b60ed17.jpg,shortsleeve,darkolivegreen,shortpants,grey
..\object_detection\ClothesCategory_v9\test\images\11246839_jpg.rf.75b31de678b1667f12e59934b95ea692.jpg,shortsleeve,black,shortpants,wheat
..\object_detection\ClothesCategory_v9\test\images\11280533_jpg.rf.4db9636bb027f52c5f5a2283f37ab7fd.jpg,shirt,midnightblue,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\11422175_jpg.rf.1ba32d46b6ed8e02b593897a191cfe14.jpg,mtm,darkolivegreen,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\11481788_jpg.rf.dc4bf83ead61bac7462c51ad4cdd4878.jpg,longsleeve,darkslategrey,cottonpants,antiquewhite
..\object_detection\ClothesCategory_v9\test\images\11563652_jpg.rf.68be34f14755e55a42a8441e0dc59ddb.jpg,longsleeve,darkslategrey,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\11602599_jpg.rf.50f86f4bc209272e3081f1de4b9a1390.jpg,shirt,lightslategrey,shortpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\11647184_jpg.rf.5cbb0c4c51d3071b1521e7ee7fb72a8e.jpg,mtm,black,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\11704906_jpg.rf.f9e2d111a69babd7b6fd48fa0403fa11.jpg,shirt,bisque,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\11762200_blurr_jpg.rf.b3e71ac93eafca58d8726cf7034b7546.jpg,shirt,lavender,cottonpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\11875032_jpg.rf.fbfe430454fe2780480a6a682b5d1084.jpg,shirt,lightslategrey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\11888731_jpg.rf.e89b892bbd7341316783b11696e14567.jpg,blazer,grey,slacks,dimgrey
..\object_detection\ClothesCategory_v9\test\images\11937763_jpg.rf.7822ad377d5222fe39d3572d2ef022e6.jpg,shortsleeve,dimgrey,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\11948721_jpg.rf.70ff49be555d04e3e20c91c63cb60e58.jpg,mtm,darkslategrey,slacks,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\11972986_blurr_jpg.rf.bb0706f05778aa9a2622529f040f8044.jpg,cardigan,slategrey,denimpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\11973207_jpg.rf.696ba0e0395d403464dd24897ef0b687.jpg,cardigan,silver,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\11974774_jpg.rf.c65022a135ee73f9f8bd3c975fcca5cf.jpg,shortsleeve,grey,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\11986087_jpg.rf.f5c6dde638cb4c7d332a6b26c7afaae7.jpg,shortsleeve,rosybrown,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\11986305_jpg.rf.574d1491c33f4a164e550101a4ed5d0b.jpg,mtm,darkgrey,slacks,black
..\object_detection\ClothesCategory_v9\test\images\12010835_jpg.rf.84cbf2e7f090f4d269c0c8da2e53f55a.jpg,shirt,darkgrey,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\12072288_jpg.rf.96361327ab7e673d54d087e1006f4a48.jpg,blazer,dimgrey,slacks,dimgrey
..\object_detection\ClothesCategory_v9\test\images\12092558_jpg.rf.99a402d387c037ea6b32205f6fb3a76e.jpg,shirt,darkslateblue,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\12107613_jpg.rf.b3bc847d7e9b9e1a4c654b5b98b7b055.jpg,padding,dimgrey,slacks,black
..\object_detection\ClothesCategory_v9\test\images\12141181_jpg.rf.9880add08275ce525153907d6739b78b.jpg,longsleeve,lightgrey,denimpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\12149885_blurr_jpg.rf.9b1b6b2473eb7012dd5ce73e27fc2bfa.jpg,shirt,darkgrey,shortpants,silver
..\object_detection\ClothesCategory_v9\test\images\12245992_blurr_jpg.rf.03dacfd56154ca12fddacd3bf42cad9e.jpg,cardigan,dimgrey,trainingpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\12344551_jpg.rf.ede0a9ae4d52929b4b4c694c9fc44f55.jpg,padding,black,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\12442836_blurr_jpg.rf.d4e4da077853607cf520a841f63cacd0.jpg,mtm,dimgrey,slacks,black
..\object_detection\ClothesCategory_v9\test\images\12478633_jpg.rf.9e487d2f5c94c4167ca3b40cb6c64d36.jpg,hoodies,black,denimpants,darkslateblue
..\object_detection\ClothesCategory_v9\test\images\12514543_jpg.rf.0b30ca38467e5b6a916d9c2a7dcb0156.jpg,sweater,black,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\12526271_jpg.rf.767e157dc63c1f398c0fc43889bad371.jpg,sweater,black,shortpants,grey
..\object_detection\ClothesCategory_v9\test\images\12570600_blurr_jpg.rf.8afc5699117cbace7e5b8a7caf9579f2.jpg,padding,darkgrey,denimpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\12586857_jpg.rf.8a4ac20eb907bc76157d1148aa7bdf4f.jpg,jacket,black,slacks,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\12663945_jpg.rf.7d487cacc99b447de0ac7eaeb619ef80.jpg,padding,black,denimpants,black
..\object_detection\ClothesCategory_v9\test\images\12834965_jpg.rf.b1fe23dcf576ac49352e9d8605d7e170.jpg,padding,darkslategrey,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\12903413_jpg.rf.fbf5bf44b7362e677258495a6d58779e.jpg,coat,dimgrey,trainingpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\12923151_jpg.rf.024543492ce7d7e4bd7ef7c54be622fe.jpg,mtm,dimgrey,cottonpants,black
..\object_detection\ClothesCategory_v9\test\images\12994421_blurr_jpg.rf.4aa6598edd8a66fef0ca1052fe472058.jpg,coat,black,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\13025546_jpg.rf.383d0baa048c628255471489a5dcdc02.jpg,blazer,black,skirt,black
..\object_detection\ClothesCategory_v9\test\images\13120871_jpg.rf.e104e52608595c236ca8db112bed63fd.jpg,coat,dimgrey,skirt,black
..\object_detection\ClothesCategory_v9\test\images\13135334_jpg.rf.7e8c17486cd38ffe01a8297832ad2e10.jpg,padding,black,slacks,black
..\object_detection\ClothesCategory_v9\test\images\13261734_jpg.rf.9663ebbbc07332ff84076a60c263789c.jpg,padding,darkslategrey,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\13351509_jpg.rf.d1bae42f761c21000236c1f3e059b2e0.jpg,coat,black,slacks,black
..\object_detection\ClothesCategory_v9\test\images\13743851_jpg.rf.d6aaeb9a5efbee954beb1246b75c9f69.jpg,padding,rosybrown,trainingpants,black
..\object_detection\ClothesCategory_v9\test\images\13816212_jpg.rf.d090c55b3ba269feb6eca067c715f206.jpg,jacket,darkslategrey,cottonpants,grey
..\object_detection\ClothesCategory_v9\test\images\13830750_jpg.rf.9eef6ff99834d523900a8dea992718db.jpg,coat,black,cottonpants,grey
..\object_detection\ClothesCategory_v9\test\images\13879288_jpg.rf.16c560b823bc982bd2526c517b97c461.jpg,coat,darkolivegreen,cottonpants,grey
..\object_detection\ClothesCategory_v9\test\images\13882294_jpg.rf.742974828a13e357aea82b9bd556d2fa.jpg,shirt,cornflowerblue,cottonpants,grey
..\object_detection\ClothesCategory_v9\test\images\13949178_jpg.rf.78e2ae1b44b7993f7b4a5e0d1f0775a8.jpg,padding,black,slacks,black
..\object_detection\ClothesCategory_v9\test\images\13969015_jpg.rf.9d69409c54d2fb9dcef6517cf8db470a.jpg,mtm,slategrey,shortpants,gainsboro
..\object_detection\ClothesCategory_v9\test\images\14154006_jpg.rf.861d99bdb4a7c1edd61b0fc2fb2fec05.jpg,coat,black,shortpants,gainsboro
..\object_detection\ClothesCategory_v9\test\images\14260451_jpg.rf.706751a7bca2753ae443a5ee551af9e2.jpg,cardigan,darkolivegreen,cottonpants,darkolivegreen
..\object_detection\ClothesCategory_v9\test\images\14271682_blurr_jpg.rf.0687f6f08009c95315a989533ebe5dd4.jpg,sweater,darkslategrey,slacks,black
..\object_detection\ClothesCategory_v9\test\images\14280291_blurr_jpg.rf.83ee125b2547fc6cc6c1256566032a4c.jpg,shirt,rosybrown,cottonpants,white
..\object_detection\ClothesCategory_v9\test\images\14319154_jpg.rf.80ff8b0564edb1e23d9b904546de8744.jpg,padding,silver,trainingpants,black
..\object_detection\ClothesCategory_v9\test\images\14370460_jpg.rf.03596d7ad6feffdbd8b0c21cdb086edc.jpg,mtm,silver,shortpants,black
..\object_detection\ClothesCategory_v9\test\images\14616517_jpg.rf.5f3535daa92e3a806abde460a72e3da5.jpg,coat,black,cottonpants,black
..\object_detection\ClothesCategory_v9\test\images\14654277_jpg.rf.c236a13fe3fe45f93cedf90dd027992b.jpg,shortsleeve,black,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\14708849_jpg.rf.8376e9d68e120f9128463e2b7882fbbf.jpg,coat,black,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\14871729_jpg.rf.8b3bb6bf16bc2b8a6edd24e96bf19818.jpg,blazer,black,slacks,black
..\object_detection\ClothesCategory_v9\test\images\14882245_jpg.rf.655a774b86bdf3233f1f9079d93fd7fa.jpg,cardigan,dimgrey,denimpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\14903112_jpg.rf.56fcde00f51c0118f3c8d2bfc027f6f0.jpg,padding,black,denimpants,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\14924597_jpg.rf.a0eee77efd9904f10d542cb5abc78356.jpg,jacket,black,slacks,black
..\object_detection\ClothesCategory_v9\test\images\14999768_jpg.rf.62da4407479cc759e3814a68383aa8c8.jpg,jacket,black,skirt,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\15016342_jpg.rf.f9db23c2894886c222244a6c89b76986.jpg,jacket,black,cottonpants,tan
..\object_detection\ClothesCategory_v9\test\images\15068924_blurr_jpg.rf.6913a463c4246fe0b8b8f1bb579dc294.jpg,cardigan,silver,trainingpants,grey
..\object_detection\ClothesCategory_v9\test\images\15118874_jpg.rf.d28cd4f8a3887bf15ff34fbda159a6f9.jpg,shortsleeve,lavender,denimpants,slategrey
..\object_detection\ClothesCategory_v9\test\images\15140536_jpg.rf.1f0f8f422a1e54850fd900802c3d9441.jpg,cardigan,darkgrey,skirt,dimgrey
..\object_detection\ClothesCategory_v9\test\images\15141343_blurr_jpg.rf.f20079e2e8a00dacdb086af266b8e8ae.jpg,blazer,black,denimpants,dimgrey
..\object_detection\ClothesCategory_v9\test\images\15174229_blurr_jpg.rf.e39df7724f387c4cdee5756af3e8b509.jpg,jacket,black,slacks,black
..\object_detection\ClothesCategory_v9\test\images\15214870_jpg.rf.ac6c58a0d4222e9a3181462ea9c7786b.jpg,shortsleeve,black,cottonpants,black
..\object_detection\ClothesCategory_v9\test\images\15236994_jpg.rf.d918923f909834cd4c999d6f7d1bb979.jpg,cardigan,steelblue,slacks,black
..\object_detection\ClothesCategory_v9\test\images\15273038_jpg.rf.4f08f8487eb0493e87e557e2ca7632ee.jpg,padding,grey,skirt,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\15285271_blurr_jpg.rf.47b1dd87a11ff27fa213e70a3594b61e.jpg,padding,black,skirt,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\15307460_jpg.rf.3153e0354c899d6f258a359922c6b8dc.jpg,jacket,black,slacks,black
..\object_detection\ClothesCategory_v9\test\images\15326950_jpg.rf.3166c6c7c1b7247d808e1f30fc729af9.jpg,blazer,black,skirt,black
..\object_detection\ClothesCategory_v9\test\images\15341123_jpg.rf.c8651ddaa2bb23eabc2c38ee80612253.jpg,padding,black,skirt,black
..\object_detection\ClothesCategory_v9\test\images\15377319_jpg.rf.4fdb12dc2c5c21c85ec953e54e2319fe.jpg,cardigan,darkolivegreen,slacks,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\15382317_blurr_jpg.rf.79f2662c772cb92ac21440b8c6142a46.jpg,padding,black,cottonpants,black
..\object_detection\ClothesCategory_v9\test\images\15431795_jpg.rf.2632ae2db9c505cd512c54a4c32444a4.jpg,sweater,dimgrey,slacks,black
..\object_detection\ClothesCategory_v9\test\images\15464025_jpg.rf.6df9a664951a6a8ef2d7fc58f297bdf8.jpg,blazer,black,denimpants,slategrey
..\object_detection\ClothesCategory_v9\test\images\15591829_jpg.rf.927cb0f363b0f8317d36b78d6cb1d8da.jpg,blazer,darkslategrey,slacks,darkslategrey
..\object_detection\ClothesCategory_v9\test\images\15596662_jpg.rf.605d0dbddef4923a65f179beaf5a2638.jpg,padding,grey,trainingpants,black
