img_path,top_category,top_color,bottom_category,bottom_color,top_color_cluster,bottom_color_cluster
..\object_detection\ClothesCategory_v9\test\images\10044010_jpg.rf.de98d6aff997411fd64459bd62cfd9c2.jpg,longsleeve,xkcd:light grey blue,shortpants,xkcd:marine,76,36
..\object_detection\ClothesCategory_v9\test\images\10179192_jpg.rf.803ef7e3d2505df3d94dec55b800c5e4.jpg,blazer,xkcd:light blue grey,slacks,xkcd:dark,76,-1
..\object_detection\ClothesCategory_v9\test\images\10244838_blurr_jpg.rf.502b6a3669198a03252a39bd135ffc43.jpg,longsleeve,xkcd:bluegrey,shortpants,xkcd:almost black,19,-1
..\object_detection\ClothesCategory_v9\test\images\10273381_jpg.rf.b4629f2a6f56dfad1c0ff90da2165412.jpg,shortsleeve,xkcd:dark,shortpants,xkcd:charcoal grey,-1,49
..\object_detection\ClothesCategory_v9\test\images\10312552_jpg.rf.d849ea2143960663f1b234796905dcad.jpg,shortsleeve,xkcd:almost black,cottonpants,xkcd:dark grey,-1,49
..\object_detection\ClothesCategory_v9\test\images\10347798_jpg.rf.96c37d3a5d959be32c2da35a3ba35a7d.jpg,shortsleeve,xkcd:pale grey,shortpants,xkcd:dark,9,-1
..\object_detection\ClothesCategory_v9\test\images\10396906_jpg.rf.533df69d3d4bbc7703d18ae57396f53e.jpg,shirt,xkcd:light grey,shortpants,xkcd:almost black,-1,-1
..\object_detection\ClothesCategory_v9\test\images\10488587_blurr_jpg.rf.bfb20f3dd7b2d88006f1e827d7d6959e.jpg,shortsleeve,xkcd:dark,shortpants,xkcd:reddish,-1,42
..\object_detection\ClothesCategory_v9\test\images\10536873_blurr_jpg.rf.a4f53581a9fbd5bf14b5831e12c16538.jpg,shortsleeve,xkcd:dark,denimpants,xkcd:charcoal grey,-1,49
..\object_detection\ClothesCategory_v9\test\images\10575362_jpg.rf.d92ed99fab4e58bf53e75a98847ac12b.jpg,shortsleeve,xkcd:brick orange,skirt,xkcd:marine,7,36
