                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0568,                 2.2473,                 1.3881,                0.46999,                0.60883,                 0.5296,                 0.4379,                0.67702,                 1.2818,                 1.0371,              0.0033286,              0.0033286,              0.0033286
                      2,                0.92421,                  1.441,                 1.2499,                0.50532,                0.57581,                0.52784,                0.42944,                0.73092,                 1.3424,                 1.0746,               0.006596,               0.006596,               0.006596
                      3,                0.99035,                 1.5056,                 1.2889,                0.41745,                0.50006,                0.43678,                0.34182,                0.80693,                 1.5522,                 1.1395,              0.0097973,              0.0097973,              0.0097973
                      4,                 1.0387,                 1.5807,                 1.3278,                0.53472,                0.55314,                0.55334,                0.43869,                0.80639,                 1.2699,                 1.1204,               0.009703,               0.009703,               0.009703
                      5,                0.99117,                 1.4717,                 1.2933,                0.62116,                0.54747,                0.59236,                0.49166,                0.70074,                 1.1875,                 1.0609,               0.009703,               0.009703,               0.009703
                      6,                0.95293,                 1.3753,                 1.2659,                0.61562,                0.57471,                0.62597,                0.51951,                 0.6999,                 1.1096,                 1.0549,               0.009604,               0.009604,               0.009604
                      7,                0.92212,                 1.3077,                 1.2438,                0.58732,                0.60057,                 0.6158,                0.51121,                0.69776,                 1.1183,                 1.0516,               0.009505,               0.009505,               0.009505
                      8,                0.89714,                 1.2493,                  1.223,                0.65381,                0.63268,                 0.6699,                0.55627,                0.67916,                 1.0266,                 1.0329,               0.009406,               0.009406,               0.009406
                      9,                0.86839,                 1.1989,                 1.2028,                0.63818,                 0.6246,                0.66625,                0.56077,                0.67329,                 1.0916,                 1.0319,               0.009307,               0.009307,               0.009307
                     10,                0.85012,                  1.149,                  1.193,                0.64011,                0.63163,                0.66731,                0.56678,                0.64642,                0.98223,                 1.0147,               0.009208,               0.009208,               0.009208
                     11,                0.82664,                 1.0991,                 1.1745,                 0.7251,                0.63789,                0.72722,                0.61552,                0.63185,                0.89555,                0.99782,               0.009109,               0.009109,               0.009109
                     12,                0.80918,                 1.0733,                  1.166,                0.77874,                0.61023,                 0.7422,                0.63536,                0.62623,                0.88902,                 1.0024,                0.00901,                0.00901,                0.00901
                     13,                0.80022,                 1.0409,                 1.1576,                0.75231,                0.64062,                0.74696,                0.63918,                 0.6228,                0.82506,                0.98282,               0.008911,               0.008911,               0.008911
                     14,                0.78885,                 1.0124,                 1.1503,                0.65818,                 0.7166,                0.75852,                0.65305,                0.59645,                0.82326,                0.97397,               0.008812,               0.008812,               0.008812
                     15,                0.77649,                0.98678,                 1.1385,                0.72821,                0.68753,                0.76656,                0.65639,                0.61864,                0.79773,                0.99144,               0.008713,               0.008713,               0.008713
                     16,                0.76247,                0.95604,                 1.1289,                 0.7918,                0.62501,                0.76742,                0.66387,                 0.5994,                0.80253,                0.96958,               0.008614,               0.008614,               0.008614
                     17,                0.74986,                 0.9231,                  1.122,                0.80911,                  0.648,                0.76275,                0.66095,                 0.6003,                0.79593,                0.97883,               0.008515,               0.008515,               0.008515
                     18,                0.73822,                0.90957,                  1.115,                 0.6972,                0.66577,                 0.7585,                0.65983,                0.58861,                0.78127,                0.97546,               0.008416,               0.008416,               0.008416
                     19,                0.72989,                0.88775,                 1.1109,                0.74498,                0.69536,                 0.7674,                0.66632,                0.57772,                0.74657,                0.96128,               0.008317,               0.008317,               0.008317
                     20,                0.72384,                0.86903,                 1.1047,                0.77169,                0.71406,                0.78782,                0.68214,                0.59332,                0.73559,                0.97097,               0.008218,               0.008218,               0.008218
                     21,                0.71638,                0.85456,                 1.1019,                0.77326,                0.69302,                0.77404,                0.67698,                 0.5848,                0.75324,                0.96988,               0.008119,               0.008119,               0.008119
                     22,                0.71607,                0.83296,                 1.1015,                0.73944,                0.70097,                 0.7753,                0.67944,                0.56892,                0.78426,                0.95643,                0.00802,                0.00802,                0.00802
                     23,                0.70178,                0.81745,                 1.0945,                 0.7629,                0.72029,                 0.8038,                 0.7052,                0.56733,                0.72886,                0.94556,               0.007921,               0.007921,               0.007921
                     24,                0.69797,                0.80168,                 1.0904,                0.74141,                0.65039,                 0.7826,                0.68553,                0.57077,                0.73937,                0.95628,               0.007822,               0.007822,               0.007822
                     25,                0.68884,                0.78667,                 1.0864,                0.78667,                0.67882,                0.80269,                0.70301,                0.56476,                0.72748,                 0.9517,               0.007723,               0.007723,               0.007723
                     26,                0.68266,                0.77588,                 1.0814,                0.71588,                0.69032,                0.78357,                0.68791,                0.56448,                0.73368,                0.95331,               0.007624,               0.007624,               0.007624
                     27,                0.68222,                0.76048,                 1.0801,                0.78148,                0.69692,                0.79076,                0.69801,                0.56502,                0.72552,                0.95379,               0.007525,               0.007525,               0.007525
                     28,                0.66949,                0.73802,                 1.0755,                0.76696,                0.72672,                0.80492,                0.71404,                0.55487,                0.69967,                0.94639,               0.007426,               0.007426,               0.007426
                     29,                0.67063,                0.74221,                 1.0734,                 0.7967,                0.69735,                 0.7979,                0.69881,                 0.5577,                0.70039,                0.94986,               0.007327,               0.007327,               0.007327
                     30,                0.66374,                0.72256,                 1.0678,                0.81178,                0.67016,                0.79601,                0.70173,                0.55021,                 0.7213,                 0.9456,               0.007228,               0.007228,               0.007228
                     31,                0.65767,                0.71408,                 1.0688,                 0.7777,                0.73049,                0.79733,                0.70615,                0.55859,                0.69326,                0.94549,               0.007129,               0.007129,               0.007129
                     32,                0.65092,                0.69696,                 1.0627,                0.76519,                 0.7076,                0.79133,                0.69777,                0.55655,                0.70573,                0.94441,                0.00703,                0.00703,                0.00703
                     33,                0.64925,                0.68992,                 1.0629,                0.82885,                0.68767,                0.79507,                0.70089,                0.55645,                0.70843,                0.94601,               0.006931,               0.006931,               0.006931
