                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1847,                 3.3249,                 1.4399,                0.26138,                0.45011,                0.22145,                0.16792,                0.85716,                 2.6742,                 1.1397,              0.0033293,              0.0033293,              0.0033293
                      1,                 1.1217,                 2.4339,                 1.3348,                0.33977,                0.45606,                0.31829,                0.24121,                0.80613,                 2.3956,                 1.1333,              0.0066495,              0.0066495,              0.0066495
                      2,                 1.1785,                 2.3193,                 1.3728,                0.37883,                0.48145,                0.33195,                0.24614,                0.91465,                 2.1194,                 1.2057,              0.0099564,              0.0099564,              0.0099564
                      3,                  1.206,                 2.1975,                 1.3915,                0.34008,                0.52268,                0.39376,                0.29255,                0.92342,                 1.7347,                 1.1839,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.1496,                 1.9928,                 1.3507,                 0.4374,                0.54572,                   0.42,                 0.3379,                0.78098,                 1.5933,                 1.1004,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.1061,                 1.8655,                 1.3219,                0.46051,                0.52493,                0.44938,                0.35628,                0.76449,                 1.4996,                 1.0901,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.0758,                 1.7624,                 1.2966,                0.49929,                0.56539,                0.49477,                0.40456,                0.72171,                 1.4281,                 1.0594,               0.009901,               0.009901,               0.009901
                      7,                 1.0502,                 1.6937,                 1.2846,                0.57203,                0.55395,                0.53936,                0.44937,                0.69678,                 1.2454,                 1.0419,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.0331,                 1.6482,                 1.2681,                0.58173,                0.57187,                 0.5528,                0.45654,                0.68479,                 1.1723,                 1.0369,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.0052,                 1.5989,                 1.2519,                0.60023,                0.56535,                0.57888,                0.47872,                0.67423,                 1.1872,                 1.0199,              0.0098416,              0.0098416,              0.0098416
                     10,                0.99562,                  1.561,                 1.2452,                0.68622,                0.55895,                0.61888,                0.51869,                0.67748,                 1.0987,                 1.0262,              0.0098218,              0.0098218,              0.0098218
                     11,                0.98913,                 1.5368,                 1.2422,                0.51791,                0.63347,                0.59375,                0.49912,                0.64492,                 1.1449,                  1.001,               0.009802,               0.009802,               0.009802
                     12,                0.96983,                 1.4992,                 1.2302,                0.64214,                0.58837,                0.61172,                0.51231,                0.64757,                 1.0818,                 1.0039,              0.0097822,              0.0097822,              0.0097822
                     13,                0.96113,                 1.4807,                 1.2276,                0.60143,                0.63742,                0.63035,                0.52903,                0.63509,                 1.0159,                0.99137,              0.0097624,              0.0097624,              0.0097624
                     14,                0.94718,                 1.4464,                 1.2166,                0.60458,                0.63379,                0.62997,                0.52764,                0.63086,                 1.0115,                0.98969,              0.0097426,              0.0097426,              0.0097426
                     15,                0.93819,                 1.4268,                  1.209,                0.55866,                0.65633,                0.64115,                0.54681,                0.62308,                0.97935,                0.99078,              0.0097228,              0.0097228,              0.0097228
                     16,                0.93403,                  1.412,                 1.2068,                0.62416,                0.63379,                0.66242,                 0.5646,                0.63038,                0.99326,                0.99124,               0.009703,               0.009703,               0.009703
                     17,                0.92979,                 1.3971,                 1.2024,                 0.5896,                0.67213,                0.66422,                0.56713,                0.60719,                0.97901,                0.97523,              0.0096832,              0.0096832,              0.0096832
                     18,                0.92743,                 1.3842,                 1.2017,                0.61853,                0.59544,                0.64652,                0.54281,                0.61658,                 1.0183,                0.97941,              0.0096634,              0.0096634,              0.0096634
                     19,                0.91175,                 1.3656,                  1.194,                0.64216,                0.63379,                0.66136,                0.56272,                0.61266,                0.97914,                0.97734,              0.0096436,              0.0096436,              0.0096436
                     20,                0.91287,                 1.3516,                 1.1909,                 0.6233,                0.66432,                0.69415,                0.59123,                0.60557,                0.90549,                0.97409,              0.0096238,              0.0096238,              0.0096238
                     21,                0.90355,                 1.3345,                 1.1879,                0.73368,                0.61108,                0.70561,                0.59981,                0.59353,                0.86281,                0.97127,               0.009604,               0.009604,               0.009604
                     22,                0.89596,                 1.3168,                 1.1806,                0.71238,                0.64557,                0.72715,                0.61892,                0.59422,                0.85778,                0.96966,              0.0095842,              0.0095842,              0.0095842
                     23,                0.88591,                  1.308,                 1.1763,                0.73442,                0.64903,                0.72327,                0.61619,                0.59895,                0.85423,                0.96794,              0.0095644,              0.0095644,              0.0095644
                     24,                0.89125,                 1.2973,                 1.1782,                0.69961,                0.64495,                0.72143,                0.62173,                0.58697,                 0.8517,                0.96173,              0.0095446,              0.0095446,              0.0095446
                     25,                0.88194,                 1.2845,                 1.1741,                0.72762,                0.68513,                0.75597,                 0.6437,                0.59212,                0.81304,                0.96879,              0.0095248,              0.0095248,              0.0095248
                     26,                0.87265,                 1.2702,                 1.1675,                0.73538,                  0.646,                0.73872,                0.63633,                0.58977,                 0.8234,                0.96081,               0.009505,               0.009505,               0.009505
                     27,                0.87173,                 1.2527,                 1.1675,                0.77096,                0.64562,                0.74714,                0.64098,                0.58027,                0.81328,                0.95774,              0.0094852,              0.0094852,              0.0094852
                     28,                0.87342,                 1.2518,                 1.1656,                0.64754,                0.68303,                0.73958,                 0.6412,                0.58339,                0.81864,                0.96084,              0.0094654,              0.0094654,              0.0094654
                     29,                0.86406,                 1.2313,                 1.1593,                0.70613,                0.68458,                0.74455,                0.64419,                0.57021,                0.81492,                0.95395,              0.0094456,              0.0094456,              0.0094456
                     30,                0.86389,                 1.2301,                 1.1592,                0.76429,                0.65651,                0.74363,                0.64312,                0.57852,                 0.8084,                0.95585,              0.0094258,              0.0094258,              0.0094258
                     31,                0.85668,                 1.2223,                 1.1571,                 0.7367,                0.69561,                0.75599,                0.65933,                0.56695,                0.76912,                0.95118,               0.009406,               0.009406,               0.009406
                     32,                0.85717,                 1.2141,                 1.1588,                0.75003,                0.65865,                 0.7457,                0.65147,                0.55888,                0.77381,                0.94231,              0.0093862,              0.0093862,              0.0093862
                     33,                0.85682,                 1.2137,                 1.1576,                 0.7305,                0.68104,                0.75559,                0.65856,                0.56612,                 0.7748,                0.94931,              0.0093664,              0.0093664,              0.0093664
                     34,                0.84787,                 1.1958,                 1.1523,                0.76237,                0.66052,                0.76033,                0.66015,                0.56184,                0.78178,                0.94497,              0.0093466,              0.0093466,              0.0093466
                     35,                0.84614,                 1.1884,                 1.1529,                0.78224,                  0.609,                0.74699,                0.65101,                 0.5639,                0.78722,                0.94984,              0.0093268,              0.0093268,              0.0093268
                     36,                0.84484,                 1.1818,                 1.1496,                0.72894,                0.66288,                0.76922,                0.67466,                0.56235,                0.75639,                0.94439,               0.009307,               0.009307,               0.009307
                     37,                0.84348,                  1.189,                  1.148,                0.73993,                0.69007,                0.76166,                0.66249,                0.55746,                 0.7716,                0.94415,              0.0092872,              0.0092872,              0.0092872
                     38,                0.84164,                 1.1729,                  1.145,                 0.7685,                0.69441,                0.78128,                0.68182,                0.56483,                0.73441,                0.94826,              0.0092674,              0.0092674,              0.0092674
                     39,                 0.8395,                 1.1646,                 1.1463,                0.75381,                0.69069,                0.76756,                 0.6717,                 0.5619,                 0.7409,                0.94737,              0.0092476,              0.0092476,              0.0092476
                     40,                0.83262,                 1.1577,                 1.1424,                0.71114,                0.72751,                0.76786,                0.66956,                0.56358,                  0.741,                0.94833,              0.0092278,              0.0092278,              0.0092278
                     41,                0.83192,                 1.1597,                 1.1415,                0.74478,                0.69272,                0.77194,                0.67304,                0.55526,                0.74681,                0.94049,               0.009208,               0.009208,               0.009208
                     42,                0.82992,                 1.1408,                 1.1407,                0.79658,                 0.6675,                0.77654,                0.67993,                0.54805,                0.74192,                0.93854,              0.0091882,              0.0091882,              0.0091882
                     43,                0.83462,                 1.1542,                 1.1446,                0.77572,                0.67098,                0.77199,                0.67382,                0.55482,                0.74422,                 0.9443,              0.0091684,              0.0091684,              0.0091684
                     44,                0.82454,                 1.1362,                 1.1379,                0.79424,                0.67499,                0.77585,                0.67616,                0.55164,                0.73483,                0.93976,              0.0091486,              0.0091486,              0.0091486
                     45,                0.82346,                 1.1295,                 1.1353,                0.78667,                  0.698,                0.78038,                0.68526,                0.54606,                0.73336,                0.93491,              0.0091288,              0.0091288,              0.0091288
                     46,                0.82405,                 1.1239,                 1.1413,                 0.7856,                0.67123,                0.78725,                 0.6899,                0.54676,                0.72492,                0.93317,               0.009109,               0.009109,               0.009109
                     47,                0.82352,                 1.1354,                 1.1383,                0.76353,                 0.6988,                0.78561,                0.68614,                0.55477,                0.72742,                0.93914,              0.0090892,              0.0090892,              0.0090892
                     48,                0.81385,                  1.108,                 1.1306,                0.78001,                0.68898,                0.78423,                 0.6856,                0.55596,                0.73609,                0.94159,              0.0090694,              0.0090694,              0.0090694
                     49,                0.81735,                 1.1049,                 1.1324,                0.78119,                 0.6961,                0.78757,                0.68638,                0.55453,                 0.7319,                 0.9418,              0.0090496,              0.0090496,              0.0090496
                     50,                0.81636,                  1.117,                 1.1318,                0.83531,                0.62285,                0.83339,                0.73604,                0.55366,                0.72926,                0.93928,              0.0090298,              0.0090298,              0.0090298
                     51,                0.81698,                 1.0937,                 1.1352,                0.84744,                0.62937,                0.79416,                0.69719,                0.55098,                 0.7187,                0.93709,                0.00901,                0.00901,                0.00901
                     52,                0.81155,                 1.0937,                 1.1279,                 0.8277,                0.65576,                0.78893,                0.68982,                0.55378,                0.70791,                0.93973,              0.0089902,              0.0089902,              0.0089902
                     53,                0.81515,                 1.0904,                 1.1297,                 0.8271,                0.66056,                0.78911,                0.69104,                0.55539,                0.70708,                 0.9394,              0.0089704,              0.0089704,              0.0089704
                     54,                0.80703,                 1.0833,                 1.1271,                0.83212,                0.65353,                0.78429,                0.68781,                0.55168,                0.71562,                0.93806,              0.0089506,              0.0089506,              0.0089506
                     55,                0.80562,                 1.0826,                 1.1272,                0.81668,                0.66183,                0.78902,                0.68923,                0.54957,                0.70851,                0.93638,              0.0089308,              0.0089308,              0.0089308
                     56,                0.80734,                 1.0739,                 1.1248,                0.80476,                0.68418,                0.79279,                0.69315,                0.54838,                0.70575,                0.93521,               0.008911,               0.008911,               0.008911
                     57,                0.80243,                 1.0706,                 1.1249,                0.82032,                0.66472,                0.79212,                0.69377,                0.54609,                0.71107,                0.93435,              0.0088912,              0.0088912,              0.0088912
                     58,                0.80019,                 1.0692,                 1.1248,                0.86938,                0.62424,                  0.793,                0.69309,                 0.5457,                0.70918,                0.93414,              0.0088714,              0.0088714,              0.0088714
                     59,                0.80155,                 1.0603,                  1.124,                 0.7795,                0.68844,                0.79471,                0.69359,                0.54721,                0.70786,                0.93496,              0.0088516,              0.0088516,              0.0088516
                     60,                0.79867,                 1.0551,                  1.124,                0.79475,                0.67714,                0.79742,                0.69615,                 0.5468,                0.70598,                0.93463,              0.0088318,              0.0088318,              0.0088318
                     61,                0.79789,                 1.0546,                 1.1217,                0.79435,                 0.6915,                0.79678,                0.69656,                0.54721,                0.70603,                0.93506,               0.008812,               0.008812,               0.008812
                     62,                0.79649,                 1.0495,                 1.1182,                0.81029,                0.67643,                0.79882,                0.69961,                0.54674,                0.70057,                0.93413,              0.0087922,              0.0087922,              0.0087922
                     63,                0.79937,                 1.0521,                 1.1239,                0.79479,                0.67743,                0.79796,                0.69912,                0.54515,                0.70212,                0.93368,              0.0087724,              0.0087724,              0.0087724
                     64,                0.79687,                 1.0511,                 1.1235,                0.80367,                0.67912,                0.79849,                0.70193,                0.54619,                0.70072,                0.93541,              0.0087526,              0.0087526,              0.0087526
                     65,                0.79442,                 1.0408,                 1.1197,                0.81816,                0.66802,                0.79851,                0.70224,                0.54699,                0.70222,                0.93666,              0.0087328,              0.0087328,              0.0087328
                     66,                 0.7923,                 1.0332,                 1.1175,                0.84508,                0.63849,                0.79859,                0.70237,                0.54613,                0.70378,                0.93572,               0.008713,               0.008713,               0.008713
                     67,                0.78842,                 1.0257,                 1.1138,                0.70901,                0.71117,                0.79864,                0.70134,                0.54427,                 0.7001,                0.93398,              0.0086932,              0.0086932,              0.0086932
                     68,                0.78951,                 1.0279,                 1.1162,                0.83729,                0.66117,                 0.7998,                0.70317,                0.54426,                0.70061,                0.93397,              0.0086734,              0.0086734,              0.0086734
                     69,                0.78827,                 1.0232,                 1.1165,                0.83274,                0.66461,                0.80015,                0.70372,                0.54182,                0.69764,                0.93205,              0.0086536,              0.0086536,              0.0086536
                     70,                0.78688,                 1.0298,                 1.1154,                0.83055,                0.66203,                0.80057,                0.70493,                0.54171,                0.69845,                0.93204,              0.0086338,              0.0086338,              0.0086338
                     71,                0.78581,                 1.0205,                 1.1131,                0.80878,                0.67497,                0.79953,                0.70507,                0.54117,                0.70126,                0.93175,               0.008614,               0.008614,               0.008614
                     72,                 0.7869,                 1.0172,                 1.1146,                0.79705,                0.68501,                0.79933,                0.70475,                0.54007,                0.70114,                0.93064,              0.0085942,              0.0085942,              0.0085942
                     73,                0.78236,                 1.0011,                 1.1115,                0.79895,                0.68268,                0.79996,                0.70517,                0.53959,                0.70203,                0.92981,              0.0085744,              0.0085744,              0.0085744
                     74,                0.78446,                 1.0067,                 1.1118,                0.80165,                0.68238,                0.80186,                0.70528,                0.53972,                0.70286,                0.93019,              0.0085546,              0.0085546,              0.0085546
                     75,                0.78419,                 1.0083,                 1.1121,                0.79244,                0.68795,                0.80176,                0.70569,                0.54019,                0.70506,                 0.9302,              0.0085348,              0.0085348,              0.0085348
                     76,                0.77894,                0.99207,                 1.1073,                0.83894,                0.65013,                0.80217,                0.70647,                0.54033,                0.70411,                0.93045,               0.008515,               0.008515,               0.008515
                     77,                0.77995,                0.99857,                 1.1102,                0.83516,                0.66081,                0.80316,                0.70781,                0.54021,                  0.702,                0.93083,              0.0084952,              0.0084952,              0.0084952
                     78,                0.77587,                0.99247,                 1.1087,                0.84519,                0.65704,                0.80332,                0.70709,                0.54009,                 0.7014,                0.93078,              0.0084754,              0.0084754,              0.0084754
                     79,                0.77703,                0.98957,                 1.1119,                0.84825,                0.65845,                0.80293,                0.70709,                0.53985,                0.70086,                0.93028,              0.0084556,              0.0084556,              0.0084556
                     80,                0.77997,                0.99575,                 1.1103,                 0.7867,                0.66152,                0.80505,                0.70829,                0.53894,                 0.6993,                0.92969,              0.0084358,              0.0084358,              0.0084358
                     81,                0.77381,                0.98546,                 1.1051,                0.78493,                0.66652,                0.80614,                0.70953,                0.53898,                0.69644,                0.92978,               0.008416,               0.008416,               0.008416
                     82,                0.77584,                 0.9864,                 1.1066,                0.78386,                0.66967,                0.80821,                0.71112,                0.53911,                 0.6949,                0.92972,              0.0083962,              0.0083962,              0.0083962
                     83,                0.77717,                0.98064,                 1.1085,                 0.7901,                0.67209,                0.80925,                0.71146,                0.53888,                0.69359,                0.92946,              0.0083764,              0.0083764,              0.0083764
                     84,                0.77417,                0.97721,                 1.1077,                0.78982,                0.67316,                0.80935,                 0.7112,                0.53891,                0.69346,                0.92948,              0.0083566,              0.0083566,              0.0083566
                     85,                 0.7744,                0.97791,                 1.1085,                0.78837,                0.67209,                0.80931,                0.71158,                0.53803,                 0.6936,                0.92886,              0.0083368,              0.0083368,              0.0083368
                     86,                0.77229,                0.96866,                 1.1061,                0.78735,                0.67283,                0.80923,                0.71093,                0.53764,                0.69277,                0.92846,               0.008317,               0.008317,               0.008317
                     87,                 0.7664,                0.96621,                 1.1032,                0.77606,                0.68437,                0.80815,                0.71054,                0.53727,                0.69205,                0.92825,              0.0082972,              0.0082972,              0.0082972
                     88,                0.76889,                0.96342,                  1.104,                0.77757,                0.68526,                0.80872,                 0.7109,                0.53677,                 0.6922,                0.92799,              0.0082774,              0.0082774,              0.0082774
                     89,                0.76946,                0.96592,                 1.1053,                 0.7795,                0.68629,                0.80896,                0.71089,                0.53655,                0.69243,                0.92785,              0.0082576,              0.0082576,              0.0082576
                     90,                0.77277,                0.96356,                 1.1069,                0.78972,                0.67726,                0.80931,                0.71131,                0.53635,                0.69191,                0.92758,              0.0082378,              0.0082378,              0.0082378
                     91,                0.76298,                0.95669,                 1.1002,                0.79181,                0.67345,                0.80986,                0.71172,                 0.5359,                0.69212,                 0.9273,               0.008218,               0.008218,               0.008218
                     92,                0.76717,                 0.9588,                 1.1027,                0.78823,                0.67921,                0.80988,                0.71135,                0.53597,                0.69155,                0.92718,              0.0081982,              0.0081982,              0.0081982
                     93,                0.77059,                0.95849,                 1.1048,                0.78726,                0.67816,                0.81012,                0.71209,                0.53599,                0.69125,                0.92705,              0.0081784,              0.0081784,              0.0081784
                     94,                0.76314,                0.94675,                    1.1,                0.78795,                0.67631,                0.80847,                0.71071,                0.53565,                0.69125,                 0.9268,              0.0081586,              0.0081586,              0.0081586
                     95,                0.75871,                 0.9465,                 1.0996,                0.78934,                0.67494,                0.80893,                0.71096,                0.53504,                0.69112,                0.92616,              0.0081388,              0.0081388,              0.0081388
                     96,                0.76242,                0.94812,                 1.1004,                0.78859,                0.67661,                0.80849,                  0.711,                0.53461,                 0.6904,                0.92584,               0.008119,               0.008119,               0.008119
                     97,                0.77072,                0.95194,                 1.1049,                0.78809,                0.67955,                0.80933,                0.71282,                0.53436,                 0.6902,                0.92549,              0.0080992,              0.0080992,              0.0080992
                     98,                0.75977,                0.93919,                 1.0983,                0.78953,                0.67933,                 0.8107,                0.71393,                0.53398,                0.68915,                 0.9252,              0.0080794,              0.0080794,              0.0080794
                     99,                0.76261,                0.93861,                 1.1022,                0.79174,                0.67836,                0.81102,                0.71477,                0.53322,                0.68886,                0.92466,              0.0080596,              0.0080596,              0.0080596
                    100,                0.76799,                0.95044,                 1.1024,                0.79241,                0.67919,                0.81146,                0.71517,                0.53294,                0.68849,                0.92454,              0.0080398,              0.0080398,              0.0080398
